G-Order	349313	346291	276547	0.4%	20.1%	79.5%
G-Global	239257	239205	139542	0.0%	41.7%	58.3%
ALS	228642	226746	119245	0.4%	47.2%	52.4%
BLS	208054	207692	116708	0.1%	43.8%	56.1%
